-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
August,16,691,762,823,41.3,0.15,0.22,0.31,0.04,0.65,0.72,0.83,0.05
August,17,695,765,822,42.1,0.15,0.23,0.31,0.04,0.66,0.73,0.83,0.04
August,18,701,791,850,46.3,0.15,0.24,0.32,0.04,0.68,0.76,0.85,0.04
August,19,720,806,864,38.8,0.18,0.26,0.34,0.04,0.72,0.80,0.89,0.04
August,20,707,807,854,38.3,0.18,0.27,0.33,0.04,0.72,0.81,0.90,0.04
August,21,719,814,859,33.4,0.18,0.29,0.36,0.04,0.72,0.84,0.94,0.05
August,22,784,831,859,18.2,0.24,0.33,0.40,0.04,0.81,0.91,1.00,0.05
August,23,805,849,885,19.3,0.31,0.37,0.43,0.03,0.91,0.98,1.05,0.04
August,24,826,867,903,19.1,0.32,0.39,0.46,0.04,0.96,1.03,1.10,0.04
September,Monthly Average,698,846,"1,066",81.6,0.17,0.33,0.64,0.09,0.64,0.96,1.40,0.16
September,1,857,929,"1,029",39.5,0.29,0.39,0.51,0.05,0.97,1.10,1.28,0.07
September,2,904,966,"1,066",35.1,0.35,0.43,0.55,0.05,1.05,1.16,1.35,0.07
September,3,931,981,"1,063",30.0,0.32,0.46,0.60,0.07,1.06,1.20,1.38,0.09
September,4,912,986,"1,064",30.9,0.35,0.47,0.62,0.08,1.05,1.21,1.40,0.09
September,5,922,975,"1,058",30.7,0.34,0.46,0.62,0.08,1.06,1.20,1.36,0.09
September,6,864,917,983,34.5,0.29,0.43,0.60,0.09,0.94,1.12,1.34,0.11
September,7,848,903,978,36.9,0.30,0.42,0.64,0.10,0.91,1.09,1.32,0.12
September,8,802,850,907,28.3,0.28,0.38,0.55,0.08,0.86,1.01,1.23,0.10
September,9,781,818,867,22.4,0.26,0.33,0.45,0.05,0.83,0.95,1.09,0.06
September,10,751,809,860,27.5,0.27,0.32,0.39,0.03,0.80,0.91,1.02,0.05
September,11,733,801,876,32.1,0.23,0.30,0.35,0.03,0.78,0.88,0.96,0.04
September,12,726,796,871,36.0,0.21,0.28,0.35,0.03,0.73,0.86,0.93,0.05
September,13,714,786,884,39.1,0.18,0.27,0.34,0.03,0.72,0.83,0.90,0.05
September,14,698,769,846,33.5,0.18,0.26,0.32,0.03,0.69,0.80,0.90,0.05
September,15,700,758,826,28.4,0.18,0.25,0.33,0.04,0.65,0.79,0.90,0.06
September,16,701,755,827,28.2,0.18,0.25,0.33,0.04,0.64,0.78,0.91,0.06
September,17,717,766,835,28.5,0.17,0.25,0.34,0.04,0.65,0.80,0.94,0.06
September,18,739,790,867,32.5,0.18,0.26,0.35,0.04,0.68,0.83,0.93,0.06
September,19,723,795,886,40.1,0.20,0.27,0.36,0.04,0.70,0.83,0.93,0.05
September,20,715,783,890,46.4,0.19,0.27,0.36,0.04,0.72,0.82,0.91,0.04
September,21,739,810,881,34.5,0.22,0.30,0.37,0.04,0.76,0.88,0.95,0.04
September,22,810,841,876,17.4,0.23,0.32,0.41,0.04,0.82,0.94,1.04,0.05
September,23,807,853,893,17.9,0.26,0.33,0.41,0.04,0.86,0.98,1.07,0.05
September,24,835,878,928,24.2,0.23,0.35,0.47,0.05,0.90,1.02,1.14,0.06
October,Monthly Average,677,858,"1,095",93.8,0.21,0.38,0.72,0.11,0.70,1.03,1.51,0.18
