-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
September,5,"1,294","1,417","1,501",53.1,3.25,3.73,4.16,0.23,0.81,0.91,0.98,0.05
September,6,"1,253","1,380","1,485",59.7,3.00,3.53,4.10,0.28,0.76,0.87,0.97,0.05
September,7,"1,205","1,337","1,470",69.8,2.69,3.27,3.97,0.36,0.71,0.83,0.96,0.07
September,8,"1,218","1,338","1,472",65.6,2.72,3.26,3.93,0.33,0.72,0.83,0.96,0.06
September,9,"1,214","1,313","1,411",52.1,2.64,3.09,3.62,0.27,0.71,0.80,0.89,0.04
September,10,"1,207","1,290","1,364",42.3,2.48,2.87,3.33,0.22,0.69,0.77,0.84,0.04
September,11,"1,177","1,264","1,334",39.8,2.34,2.68,3.06,0.20,0.67,0.74,0.80,0.03
September,12,"1,169","1,248","1,314",35.1,2.22,2.52,2.89,0.18,0.66,0.75,0.85,0.04
September,13,"1,162","1,242","1,303",32.3,2.11,2.40,2.77,0.18,0.69,0.77,0.88,0.05
September,14,"1,162","1,239","1,283",29.4,2.01,2.31,2.73,0.18,0.70,0.79,0.88,0.05
September,15,"1,165","1,238","1,282",27.8,1.94,2.25,2.74,0.18,0.71,0.80,0.89,0.05
September,16,"1,167","1,239","1,292",27.2,1.90,2.21,2.76,0.19,0.71,0.81,0.89,0.04
September,17,"1,178","1,240","1,303",28.6,1.73,2.20,2.80,0.21,0.70,0.81,0.90,0.04
September,18,"1,176","1,240","1,304",28.9,1.77,2.25,2.84,0.22,0.71,0.80,0.89,0.04
September,19,"1,159","1,241","1,317",30.8,1.86,2.35,2.91,0.21,0.72,0.77,0.84,0.03
September,20,"1,134","1,239","1,321",35.6,1.88,2.38,2.89,0.21,0.70,0.76,0.84,0.03
September,21,"1,109","1,236","1,295",41.6,1.97,2.44,2.80,0.19,0.62,0.74,0.81,0.04
September,22,"1,123","1,243","1,321",43.0,2.13,2.61,2.95,0.20,0.62,0.72,0.79,0.03
September,23,"1,175","1,271","1,347",49.2,2.44,2.88,3.26,0.21,0.68,0.76,0.84,0.04
September,24,"1,198","1,309","1,405",54.7,2.68,3.15,3.61,0.23,0.71,0.80,0.90,0.05
October,Monthly Average,"1,097","1,298","1,585",92.9,1.89,3.10,4.58,0.60,0.59,0.80,1.07,0.09
October,1,"1,214","1,368","1,510",75.6,2.89,3.65,4.43,0.37,0.71,0.87,1.03,0.08
October,2,"1,243","1,397","1,550",76.7,3.07,3.81,4.58,0.38,0.73,0.90,1.07,0.08
October,3,"1,256","1,414","1,577",74.8,3.18,3.91,4.58,0.37,0.74,0.91,1.06,0.08
October,4,"1,256","1,420","1,585",75.0,3.26,3.93,4.50,0.37,0.74,0.92,1.07,0.08
October,5,"1,243","1,413","1,565",73.3,3.23,3.87,4.44,0.36,0.73,0.92,1.06,0.07
October,6,"1,184","1,363","1,531",75.2,2.91,3.58,4.32,0.38,0.68,0.87,1.04,0.08
October,7,"1,163","1,307","1,514",81.3,2.53,3.25,4.18,0.44,0.67,0.81,1.03,0.08
October,8,"1,171","1,310","1,506",77.7,2.53,3.24,4.11,0.41,0.68,0.82,1.02,0.07
October,9,"1,190","1,295","1,449",64.0,2.51,3.15,3.81,0.34,0.71,0.80,0.96,0.06
October,10,"1,180","1,286","1,408",55.9,2.39,3.02,3.57,0.31,0.69,0.79,0.91,0.05
October,11,"1,165","1,272","1,385",55.4,2.30,2.91,3.52,0.32,0.69,0.77,0.88,0.06
October,12,"1,150","1,257","1,403",59.5,2.16,2.81,3.48,0.35,0.65,0.75,0.89,0.06
